,주차장 명칭,주차장 주차 구획수,주차장 위치 위도 좌표정보,주차장 위치 경도 좌표정보
0,죽림리3,29,36.59135761,127.2976801
1,죽림리4,22,36.59212964,127.2956391
2,남리1,45,36.59458656,127.2996626
3,상리1,131,36.60186764,127.302626
4,세종전통시장주차타워,149,36.59982793,127.2993171
5,이벤트광장,25,36.59986078,127.3000286
6,신흥리2,28,36.5971798,127.294688
7,죽림리1,15,36.59162125,127.2974782
8,죽림리2,9,36.58981147,127.2922404
9,교리1,34,36.60331575,127.3005944
10,번암리1,13,36.58334226,127.2909696
11,교리2,21,36.6066714,127.2965355
12,교리3,49,36.60572203,127.2975389
13,번암리2,34,36.58669231,127.2935986
14,신흥리1,78,36.5924685,127.2919815
15,원리1,36,36.59698124,127.2976963
16,침산리1,21,36.60508226,127.292973
17,조치원주차타워,200,36.60063551,127.2977195
18,침산리2,10,36.60508975,127.2929742
19,원리3,72,36.6035059,127.2963295
20,침산리3,22,36.60441428,127.2927891
21,침산리13,11,36.59956264,127.2892231
22,침산리14,10,36.60507338,127.2914753
23,침산리15,5,36.60578741,127.2933467
24,나성노상,33,36.48085528,127.2606177
25,침산리16,23,36.60482476,127.2905834
26,도담노상,13,36.51430212,127.258607
27,침산리17,21,36.6050543,127.2912966
28,신안리1,49,36.5998621,127.3000267
29,침산리18,19,36.60417652,127.2937302
30,연동면1,10,36.55783181,127.3257093
31,침산리7,16,36.6046546,127.2907638
32,전의면1,65,36.67905247,127.2055544
33,침산리8,12,36.60534439,127.2931048
34,금남면1,41,36.46539172,127.2820568
35,침산리9,12,36.60475023,127.2916906
36,아름동공영주차장,236,36.51139615,127.2478612
37,종촌동공영주차장,160,36.50374741,127.2497063
38,보람동1,38,36.47877461,127.2906144
39,소담동1,51,36.48407449,127.3003697
40,나성동1,80,36.48343796,127.2679603
41,보람동2,70,36.47877461,127.2906144
42,보람동3,70,36.47877461,127.2906144
43,보람동4,60,36.47877461,127.2906144
44,도시상징광장주차장,262,36.4864222,127.2637566
45,2생활권환승주차장A,270,36.4810032,127.2612762
46,2생활권환승주차장B,270,36.4814309,127.2621498
47,용포로공영주차장,55,36.4684296,127.2823068
48,침산리10,8,36.60369742,127.2927499
49,부강면3,19,36.52813959,127.3691593
50,침산리11,17,36.60296471,127.2902078
51,부강면4,9,36.52848904,127.3687768
52,부강면5,21,36.52863901,127.3673207
53,침산리12,10,36.60216026,127.2910995
54,침산리4,15,36.60410086,127.2931273
55,침산리5,6,36.60218007,127.291394
56,침산리6,10,36.60164753,127.2882316
57,서창리1,12,36.60800373,127.2932371
58,부강면1,7,36.52885835,127.3687403
59,부강면2,16,36.5285002,127.3688884
