개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
5690000,202456900000803057,세종특별자치시,세종특별자치시 종촌동 711,,생활방범,3,200,종촌동 711,30,,044-300-4011,36.506399,127.246573,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:56
5690000,202456900000803059,세종특별자치시,세종특별자치시 아름동 1483,,생활방범,3,200,아름동 1483,30,,044-300-4013,36.509367,127.244829,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:56
5690000,202456900000803055,세종특별자치시,세종특별자치시 종촌동 711,,생활방범,3,200,종촌동 711,30,,044-300-4009,36.502885,127.249016,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:56
5690000,202456900000803053,세종특별자치시,세종특별자치시 종촌동 711,,생활방범,3,200,종촌동 711,30,,044-300-4007,36.500231,127.251173,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:56
5690000,202456900000803051,세종특별자치시,세종특별자치시 다정동 996,,생활방범,3,200,다정동 996,30,,044-300-4005,36.49589,127.254856,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:56
5690000,202456900000802774,세종특별자치시,세종특별자치시 누리로 3 (한솔동),,생활방범,3,200,한솔동 6단지상가앞 B,30,,044-300-3728,36.47470125,127.2547967,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:52
5690000,202456900000802772,세종특별자치시,세종특별자치시 집현동 산 198,,생활방범,3,200,4-1생활권 공영차고지 앞,30,,044-300-3726,36.482519,127.32059,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:52
5690000,202456900000802770,세종특별자치시,세종특별자치시 집현동 1012-3,,생활방범,3,200,세종시공동캠퍼스(4-2) 예정부지 앞 A,30,,044-300-3724,36.500053,127.332933,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:52
5690000,202456900000802776,세종특별자치시,세종특별자치시 누리로 96 (한솔동),,생활방범,1,200,한솔동 5단지단독주택놀이터 A,30,,044-300-3730,36.47549,127.25089,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:52
5690000,202456900000802778,세종특별자치시,세종특별자치시 어울로 72 (한솔동),,생활방범,3,200,한솔동 버거킹건너편 A,30,,044-300-3732,36.48144839,127.2538188,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:52
5690000,202456900000801501,세종특별자치시,세종특별자치시 가람동 486-13,,생활방범,1,200,가람동 당진고속도로/금송로교차로,30,,044-300-2455,36.46800953,127.2497699,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:35
5690000,202456900000801505,세종특별자치시,세종특별자치시 세종로 1210 (고운동),,생활방범,2,200,고운동 대법원 등기정보센터앞 A,30,,044-300-2459,36.50985,127.2417,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:35
5690000,202456900000801507,세종특별자치시,세종특별자치시 마음로 320 (고운동),,생활방범,1,200,고운동 2202동앞 A,30,,044-300-2461,36.52015907,127.2409456,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:35
5690000,202456900000801509,세종특별자치시,세종특별자치시 만남로 365 (고운동),,생활방범,1,200,고운동 세종누리학교부근 2-A,30,,044-300-2463,36.52644201,127.2377494,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:35
5690000,202456900000801503,세종특별자치시,세종특별자치시 가람동 618-5,,생활방범,1,200,가람동 지역난방공사진입로,30,,044-300-2457,36.46489503,127.2452502,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:35
5690000,202456900000802973,세종특별자치시,세종특별자치시 세종동 114-373,,생활방범,3,200,중앙공원 12절기 파빌리온 남측(회전형),30,,044-300-3927,36.49410368,127.2766105,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:54
5690000,202456900000802971,세종특별자치시,세종특별자치시 세종동 114-340,,생활방범,3,200,중앙공원 야구장 남측(회전형),30,,044-300-3925,36.49582562,127.278715,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:54
5690000,202456900000802975,세종특별자치시,세종특별자치시 세종동 107-73,,생활방범,3,200,중앙공원 잔디마당 동측(회전형),30,,044-300-3929,36.49258967,127.2746883,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:55
5690000,202456900000802977,세종특별자치시,세종특별자치시 세종동 107-93,,생활방범,3,200,중앙공원 잔디마당 남측(회전형),30,,044-300-3931,36.49091531,127.2734213,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:55
5690000,202456900000802979,세종특별자치시,세종특별자치시 세종동 107-111,,생활방범,3,200,중앙공원 한글자모정원 앞(제1매점앞)(회전형),30,,044-300-3933,36.49036213,127.2724749,2024-07-23,I,2026-05-15 18:45:35,2024-07-24 15:35:55
