적재_연월,주차장 명칭,주차장 구분자 정보,주차장 유형 구분자 정보,주차장 위치 도로명주소정보,주차장 위치 지번주소정보,주차장 주차 구획수,주차장 부제 시행 구분자 정보,주차장 운영요일,주차장 평일 운영시작시각,주차장 평일 운영종료시각,주차장 토요일 운영시작시각,주차장 토요일 운영종료시각,주차장 공휴일 운영시작시각,주차장 공휴일 운영종료시각,주차장 요금 유무 정보,주차장 주차 기본시간,주차장 주차 기본요금,주차장 추가 단위시간,주차장 추가 단위요금,주차장 1일 주차권 요금 적용시간,주차장 1일 주차권 요금,주차장 월 정기권 요금,주차장 결제 방법 정보,주차장 관리기관명,주차장 관리기관 전화번호,주차장 위치 위도 좌표정보,주차장 위치 경도 좌표정보,주차장 데이터 기준일자
202603,나성노상,공영,노상,한솔동,-,33,미시행,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,15,500,15,500,0,0,0,-,세종특별자치시청,044-300-7923,36.48085528,127.2606177,2023.11.24
202603,도담노상,공영,노상,도담동,-,13,미시행,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,15,500,15,500,0,0,0,-,세종특별자치시청,044-300-7923,36.51430212,127.258607,2023.11.24
202603,신안리1,공영,노외,조치원읍,-,49,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.5998621,127.3000267,2023.11.24
202603,원리1,공영,노상,조치원읍,-,36,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.59698124,127.2976963,2023.11.24
202603,조치원주차타워,공영,노외,조치원읍,-,200,미시행,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,30,0,15,400,0,8000,0,카드,세종특별자치시청,044-300-7923,36.60063551,127.2977195,2023.11.24
202603,원리3,공영,노외,조치원읍,-,72,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,유료,30,0,15,500,0,10000,0,카드,세종특별자치시청,044-300-7923,36.6035059,127.2963295,2023.11.24
202603,교리1,공영,노상,조치원읍,-,34,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60331575,127.3005944,2023.11.24
202603,교리2,공영,노상,조치원읍,-,21,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.6066714,127.2965355,2023.11.24
202603,교리3,공영,노외,조치원읍,-,49,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60572203,127.2975389,2023.11.24
202603,침산리13,공영,노외,조치원읍,-,11,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.59956264,127.2892231,2023.11.24
202603,침산리14,공영,노외,조치원읍,-,10,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60507338,127.2914753,2023.11.24
202603,침산리15,공영,노외,조치원읍,-,5,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60578741,127.2933467,2023.11.24
202603,침산리4,공영,노외,조치원읍,-,15,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60410086,127.2931273,2023.11.24
202603,침산리5,공영,노외,조치원읍,-,6,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60218007,127.291394,2023.11.24
202603,침산리6,공영,노외,조치원읍,-,10,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60164753,127.2882316,2023.11.24
202603,상리1,공영,노외,조치원읍,-,131,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.60186764,127.302626,2023.11.24
202603,세종전통시장주차타워,공영,노외,조치원읍,-,149,미시행,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,30,0,15,400,0,8000,0,카드,세종특별자치시청,044-300-7923,36.59982793,127.2993171,2023.11.24
202603,이벤트광장,공영,노외,조치원읍,-,25,미시행,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,30,0,15,400,0,8000,0,카드,세종특별자치시청,044-300-7923,36.59986078,127.3000286,2023.11.24
202603,신흥리2,공영,노외,조치원읍,-,28,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.5971798,127.294688,2023.11.24
202603,죽림리1,공영,노상,조치원읍,-,15,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.59162125,127.2974782,2023.11.24
202603,죽림리2,공영,노외,조치원읍,-,9,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.58981147,127.2922404,2023.11.24
202603,죽림리3,공영,노외,조치원읍,-,29,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.59135761,127.2976801,2023.11.24
202603,죽림리4,공영,노외,조치원읍,-,22,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.59212964,127.2956391,2023.11.24
202603,남리1,공영,노외,조치원읍,-,45,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.59458656,127.2996626,2023.11.24
202603,번암리1,공영,노외,조치원읍,-,13,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.58334226,127.2909696,2023.11.24
202603,번암리2,공영,노외,조치원읍,-,34,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.58669231,127.2935986,2023.11.24
202603,신흥리1,공영,노상,조치원읍,-,78,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,무료,0,0,0,0,0,0,0,-,세종특별자치시청,044-300-7923,36.5924685,127.2919815,2023.11.24
