지역,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total,오전 (07-11시),오후 (12-17시),저녁/밤 (18-23시),심야 (00-06시)
조치원읍,392,290,241,147,71,63,111,167,798,2068,4197,1563,914,920,2828,4422,1783,1839,3102,664,564,491,347,339,28321,8793,12706,5507,1315
고운동,2,3,0,1,1,4,12,18,228,383,759,635,239,409,2151,2183,1930,1706,1809,2486,138,46,16,5,15164,2023,8618,4500,23
어진동,5,0,0,0,0,2,1,5,205,950,1418,815,283,223,2271,1534,1128,720,767,562,54,49,16,8,11016,3393,6159,1456,8
아름동,8,0,0,0,3,2,1,3,409,754,855,808,116,145,1134,1109,1148,1152,1158,1613,82,51,15,6,10572,2829,4804,2925,14
나성동,155,113,39,23,13,4,6,4,500,441,527,455,135,95,977,774,693,826,956,2128,227,264,252,173,9780,1927,3500,4000,353
다정동,8,3,0,0,1,0,1,5,232,492,607,527,370,342,947,842,898,909,1045,1611,39,7,9,13,8908,1863,4308,2724,13
새롬동,1,0,0,0,0,0,13,2,357,422,539,448,108,126,700,783,819,923,1123,1488,44,19,6,1,7922,1768,3459,2681,14
도담동,5,4,0,0,0,0,1,3,143,267,416,253,75,61,382,401,347,318,452,1240,62,28,11,11,4480,1082,1584,1804,10
대평동,1,0,0,0,1,1,1,1,124,186,218,238,77,167,492,540,523,468,456,545,16,3,3,4,4065,767,2267,1027,4
보람동,5,5,4,2,0,0,3,1,139,165,161,168,68,212,289,338,379,331,373,611,39,20,30,9,3352,634,1617,1082,19
세종동,0,0,0,0,0,0,1,0,107,136,227,230,24,30,347,474,470,487,358,280,19,4,0,0,3194,700,1832,661,1
소담동,2,0,1,0,0,0,0,4,107,137,150,138,71,157,510,400,476,305,291,261,31,31,11,3,3086,536,1919,628,3
해밀동,0,0,0,0,0,0,6,10,213,262,184,118,32,56,353,244,275,274,312,365,25,10,6,3,2748,787,1234,721,6
한솔동,1,0,0,0,0,2,3,2,50,100,154,153,174,125,241,218,207,192,256,371,37,14,8,0,2308,459,1157,686,6
집현동,2,0,0,0,0,0,6,21,57,174,199,162,103,79,227,225,148,179,291,374,9,7,2,0,2265,613,961,683,8
반곡동,1,1,0,0,1,0,3,0,58,78,111,81,107,100,662,268,166,100,86,79,16,3,7,7,1935,328,1403,198,6
소정면,0,0,0,0,0,0,0,0,117,158,171,139,9,34,192,199,155,205,246,2,0,0,0,0,1627,585,794,248,0
종촌동,1,1,0,0,0,0,2,0,89,98,117,83,20,68,189,181,179,153,140,205,6,11,4,0,1547,387,790,366,4
금남면,9,2,0,0,3,0,1,4,9,32,57,78,94,53,194,185,106,101,144,54,43,30,10,10,1219,180,733,291,15
연동면,0,0,0,0,0,0,0,3,77,20,135,66,33,21,368,129,25,46,17,4,0,0,0,0,944,301,622,21,0
부강면,0,0,0,0,0,1,0,1,31,23,15,40,128,19,72,27,24,61,114,4,7,3,6,2,578,110,331,136,1
연서면,1,0,0,1,0,1,0,3,9,27,40,13,34,48,99,58,33,14,26,6,4,1,0,0,418,92,286,37,3
산울동,0,2,0,0,0,0,2,4,19,92,71,4,7,36,32,36,49,12,3,5,11,3,1,0,389,190,172,23,4
전의면,1,0,0,0,0,0,0,1,9,12,17,20,28,17,15,25,22,22,7,8,2,2,2,0,210,59,129,21,1
연기면,2,1,0,0,0,0,0,0,11,7,3,6,31,18,14,13,20,5,5,1,0,0,1,0,138,27,101,7,3
장군면,1,0,0,2,0,0,0,1,0,2,1,4,8,3,8,0,0,3,5,5,4,0,3,0,50,8,22,17,3
전동면,0,0,0,0,0,0,0,0,2,4,1,3,1,2,4,6,10,0,0,1,0,0,0,1,35,10,23,2,0
가람동,0,0,0,0,0,0,0,0,0,2,9,0,2,0,0,4,2,5,1,4,1,0,0,0,30,11,13,6,0
한별동,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
