연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1,일반음식점,세종식당,세종특별자치시 조치원읍 조치원8길 34-6,세종특별자치시 조치원읍 정리 24-4 ,044 -865 -3356,2025-06-09
2,일반음식점,더비,"세종특별자치시 조치원읍 조치원로 3-1, 1층",세종특별자치시 조치원읍 원리 10-25 1층 ,044 -865 -1292,2025-06-09
3,일반음식점,맛샘식당,세종특별자치시 조치원읍 조치원8길 32,세종특별자치시 조치원읍 정리 24-7 ,044 -862 -1435,2025-06-09
4,일반음식점,조치원집,세종특별자치시 조치원읍 조치원8길 30,세종특별자치시 조치원읍 정리 24-1 ,044 -865 -3021,2025-06-09
5,일반음식점,한방족발 곰나루,세종특별자치시 조치원읍 조치원6길 34,세종특별자치시 조치원읍 정리 29-2 ,044 -865 -0948,2025-06-09
6,일반음식점,내집닭갈비,세종특별자치시 금남면 대평시장1길 3,세종특별자치시 금남면 용포리 193-26 ,,2025-06-09
7,일반음식점,어순이와돈돌이,세종특별자치시 조치원읍 새내12길 14,세종특별자치시 조치원읍 원리 15-4 ,044 -865 -6661,2025-06-09
8,일반음식점,삼거리식당,세종특별자치시 조치원읍 충현로 63,세종특별자치시 조치원읍 죽림리 32-8 ,044 -865 -3101,2025-06-09
9,일반음식점,용반점,"세종특별자치시 조치원읍 보람길 3, 1층",세종특별자치시 조치원읍 원리 141-6 (1층) ,044 -867 -5311,2025-06-09
10,일반음식점,고기먹자,세종특별자치시 금남면 용포로 103,세종특별자치시 금남면 용포리 205-27 ,,2025-06-09
11,일반음식점,춘화식당,세종특별자치시 금남면 용포로 79,세종특별자치시 금남면 용포리 193-35 ,044 -866 -7021,2025-06-09
12,일반음식점,부민식당,세종특별자치시 연동면 내송길 12,세종특별자치시 연동면 내판리 13-5 ,044 -864 -7018,2025-06-09
13,일반음식점,두드림,세종특별자치시 전의면 운주산로 1198,세종특별자치시 전의면 읍내리 254-30 ,,2025-06-09
14,일반음식점,보리경,"세종특별자치시 전의면 읍내길 3, 1층 (오른쪽 첫번째)",세종특별자치시 전의면 읍내리 255-1 ,,2025-06-09
15,일반음식점,우리식당,"세종특별자치시 연서면 당산로 354, 1층",세종특별자치시 연서면 봉암리 214-2 ,044 -867 -4810,2025-06-09
16,일반음식점,금성관,세종특별자치시 연서면 당산로 363,세종특별자치시 연서면 봉암리 211-3 ,044 -867 -3495,2025-06-09
17,일반음식점,서울식당,세종특별자치시 부강면 부촌길 48,세종특별자치시 부강면 부강리 443-4 ,044 -275 -4304,2025-06-09
18,일반음식점,자매성,세종특별자치시 부강면 오대길 8,세종특별자치시 부강면 부강리 112-2 ,044 -275 -4225,2025-06-09
19,일반음식점,뚱가네 제천식당,"세종특별자치시 조치원읍 보람길 7, 1층",세종특별자치시 조치원읍 원리 141-10 (1층) ,044 -866 -6226,2025-06-09
20,일반음식점,유명식당,세종특별자치시 전의면 운주산로 1200,세종특별자치시 전의면 읍내리 254-6 ,044 -863 -2223,2025-06-09
21,일반음식점,개미식당,세종특별자치시 전동면 운주산로 836,세종특별자치시 전동면 청람리 산 16-12 ,044 -863 -2722,2025-06-09
22,일반음식점,고가네갈비와냉면,세종특별자치시 조치원읍 새내12길 34,세종특별자치시 조치원읍 원리 2-4 ,044 -866 -6629,2025-06-09
23,일반음식점,금강식당,세종특별자치시 조치원읍 장안로 3,세종특별자치시 조치원읍 상리 136 ,044 -861 -2909,2025-06-09
24,일반음식점,청송식당,세종특별자치시 조치원읍 조치원3길 17,세종특별자치시 조치원읍 원리 8-7 ,044 -863 -8082,2025-06-09
25,일반음식점,길상 양꼬치 식당 2호점,"세종특별자치시 조치원읍 문화로 5-1, 1층",세종특별자치시 조치원읍 원리 1-6 ,044 -863 -9552,2025-06-09
26,일반음식점,부부식당,"세종특별자치시 조치원읍 조치원8길 27, 1층",세종특별자치시 조치원읍 정리 4-2 ,044 -862 -1040,2025-06-09
27,일반음식점,삼거리 고깃집,세종특별자치시 전의면 운주산로 1196,세종특별자치시 전의면 읍내리 254-22 ,044 -865 -5392,2025-06-09
28,일반음식점,키스,세종특별자치시 장군면 장척로 400,세종특별자치시 장군면 도계리 169-1 ,044 -868 -2700,2025-06-09
29,일반음식점,연기회관,"세종특별자치시 장군면 장척로 411-1, 1층",세종특별자치시 장군면 도계리 156-1 ,044 -857 -1256,2025-06-09
30,일반음식점,백마호프,세종특별자치시 장군면 장척로 413,세종특별자치시 장군면 도계리 156-10 ,044 -855 -0201,2025-06-09
31,일반음식점,정석식당,세종특별자치시 조치원읍 조치원8길 30,세종특별자치시 조치원읍 정리 24-1 ,044 -866 -5289,2025-06-09
32,일반음식점,대솔식당,세종특별자치시 조치원읍 조치원4길 13,세종특별자치시 조치원읍 원리 6-14 ,044 -863 -8668,2025-06-09
